Brazil - Mobile,"55116, 55117, 55118, 55119, 55126, 55127, 55128, 55129, 55136, 55137, 55138, 55139, 55146, 55147, 55148, 55149, 55156, 55157, 55158, 55159, 55166, 55167, 55168, 55169, 55176, 55177, 55178, 55179, 55186, 55187, 55188, 55189, 55196, 55197, 55198, 55199, 55416, 55417, 55418, 55419, 55426, 55427, 55428, 55429, 55436, 55437, 55438, 55439, 55446, 55447, 55448, 55449, 55456, 55457, 55458, 55459, 55466, 55467, 55468, 55469, 55476, 55477, 55478, 55479, 55486, 55487, 55488, 55489, 55496, 55497, 55498, 55499, 55516, 55517, 55518, 55519, 55536, 55537, 55538, 55539, 55546, 55547, 55548, 55549, 55556, 55557, 55558, 55559, 55616, 55617, 55618, 55619, 55626, 55627, 55628, 55629, 55636, 55637, 55638, 55639, 55646, 55647, 55648, 55649, 55656, 55657, 55658, 55659, 55666, 55667, 55668, 55669, 55676, 55677, 55678, 55679, 55686, 55687, 55688, 55689, 55696, 55697, 55698, 55699",0.0112
Brazil - Mobile (Telemar),"55216, 55217, 55218, 55219, 55226, 55227, 55228, 55229, 55246, 55247, 55248, 55249, 55276, 55277, 55278, 55279, 55286, 55287, 55288, 55289, 55316, 55317, 55318, 55319, 55326, 55327, 55328, 55329, 55336, 55337, 55338, 55339, 55346, 55347, 55348, 55349, 55356, 55357, 55358, 55359, 55376, 55377, 55378, 55379, 55386, 55387, 55388, 55389, 55716, 55717, 55718, 55719, 55736, 55737, 55738, 55739, 55746, 55747, 55748, 55749, 55756, 55757, 55758, 55759, 55776, 55777, 55778, 55779, 55786, 55787, 55788, 55789, 55796, 55797, 55798, 55799, 55816, 55817, 55818, 55819, 55826, 55827, 55828, 55829, 55836, 55837, 55838, 55839, 55846, 55847, 55848, 55849, 55856, 55857, 55858, 55859, 55866, 55867, 55868, 55869, 55876, 55877, 55878, 55879, 55886, 55887, 55888, 55889, 55896, 55897, 55898, 55899, 55916, 55917, 55918, 55919, 55926, 55927, 55928, 55929, 55936, 55937, 55938, 55939, 55946, 55947, 55948, 55949, 55956, 55957, 55958, 55959, 55966, 55967, 55968, 55969, 55976, 55977, 55978, 55979, 55986, 55987, 55988, 55989, 55996, 55997, 55998, 55999",0.0112
British Virgin Is - Fixed,1284,0.0112
British Virgin Is - Mobile,"1284300, 1284301, 1284302, 1284303, 1284440, 1284441, 1284442, 1284443, 1284444, 1284445, 1284446, 1284468, 12844960, 12844966, 12844967, 12844968, 12844969, 1284499, 1284540, 1284541, 1284542, 1284543, 1284544, 1284545, 1284546, 1284547",0.0112
Brunei - Fixed,673,0.0112
Brunei - Mobile,"673227, 673228, 6737, 6738",0.0112
Bulgaria - Fixed,359,0.0112
Bulgaria - Sofia,3592,0.0112
Bulgaria - Mobile,35987,0.0112
Bulgaria - Mobile (Globul),"35989, 35998, 35999",0.0112
Bulgaria - Mobile (Mobicom),35948,0.0112
Bulgaria - Mobile (Mobitel),35988,0.0112
Bulgaria - Mobile (Tetra),"359430, 359437, 359438, 359439",0.0112
Burkina Faso - Fixed,226,0.0112
Burkina Faso - Mobile,"22660, 2267",0.0112
Burkina Faso - Mobile (Airtel),"22666, 22674, 22675, 22676, 22677",0.0112
Burkina Faso - Mobile (Telecel),"22668, 22678, 22679",0.0112
Burundi - Fixed,257,0.0112
Burundi - Mobile,"25729, 25771, 25774, 25775, 25776, 25777, 25778, 25779",0.0112
Cambodia - Fixed,855,0.0112
Cambodia - Mobile,"8556, 8557, 8558, 8559",0.0112
Cameroon - Fixed,237,0.0112
Cameroon - Douala,"237337, 237339, 237340, 237342, 237343, 237347",0.0112
Cameroon - Mobile,2379,0.0112
Cameroon - Mobile (Mtn),2377,0.0112
Canada,1600,0.0112
